Time,Altitude,Altitude_BMP390,Temperature_BMP390,Acceleration_X_BNO085,Acceleration_Y_BNO085,Acceleration_Z_BNO085,Magnetic_X_BNO085,Magnetic_Y_BNO085,Magnetic_Z_BNO085,Gyro_X_BNO085,Gyro_Y_BNO085,Gyro_Z_BNO085,Quaternion_W_BNO085,Quaternion_X_BNO085,Quaternion_Y_BNO085,Quaternion_Z_BNO085,Acceleration_X_ICM20649,Acceleration_Y_ICM20649,Acceleration_Z_ICM20649,Gyro_X_ICM20649,Gyro_Y_ICM20649,Gyro_Z_ICM20649
842.6932299,279.4013834,222.3212385,8.126172253,0.6953125,-0.75390625,79.3203125,4.9375,36.4375,-35.125,0.078125,-0.109375,-1.119140625,0.08764648438,0.04016113281,-0.1343994141,0.9862060547,3.476380811,-6.751648682,93.90058911,0.03304134858,0.01412251189,-1.025614118
842.7265632,292.4396333,226.3465506,8.126172253,0.65625,-1.0625,79.28125,2.4375,35.25,-36.125,0.0390625,-0.005859375,-1.005859375,0.08776855469,0.04138183594,-0.1602783203,0.9822998047,3.888183496,-2.145204687,92.42576089,-0.06208575983,-0.006661562214,-0.9502052342
842.7598965,304.3903425,229.7387289,8.130750066,1,-1.1015625,79.359375,2.4375,35.25,-36.125,-0.005859375,0.087890625,-0.921875,0.08728027344,0.04486083984,-0.1832885742,0.9781494141,-4.683058447,-1.656787549,92.52152896,-0.08446860887,-0.02531393641,-0.9238254478
842.7932298,317.8183171,234.047535,8.126172253,1.5390625,-0.6796875,79.36328125,2.0625,35.625,-34.75,-0.04296875,0.14453125,-0.875,0.08728027344,0.04486083984,-0.1832885742,0.9781494141,-0.6895300781,0.7278373047,94.52308154,-0.07754058417,0.01092496203,-0.8380245265
842.8265631,331.7596441,238.3339919,8.130750066,2.11328125,-0.48828125,79.359375,2.5,36.75,-35.4375,-0.04296875,0.14453125,-0.875,0.08605957031,0.05004882813,-0.2044067383,0.973815918,2.049436621,2.39420166,91.80326846,-0.127635532,-0.009859112076,-0.8598744505
842.8598964,346.1479104,242.7438622,8.130750066,2.6875,-0.21875,79.359375,2.5,36.75,-35.4375,-0.052734375,0.1484375,-0.873046875,0.08453369141,0.0556640625,-0.2252807617,0.9689941406,-0.3064578125,-3.409343164,90.48166914,-0.1071179204,-0.04689739798,-0.9480735343
842.8932297,359.5451329,246.5934874,8.130750066,3.0703125,0.05078125,79.359375,1.75,38.125,-34.375,-0.044921875,0.119140625,-0.916015625,0.08453369141,0.0556640625,-0.2252807617,0.9689941406,2.853888379,8.839392529,95.4711854,-0.0511607978,-0.05275957273,-0.942477822
842.926563,374.0808062,251.1781849,8.130750066,3.94921875,0.66015625,79.203125,0.625,36.3125,-35.4375,-0.044921875,0.119140625,-0.916015625,0.08288574219,0.06097412109,-0.2466430664,0.9636230469,5.295974072,2.413355273,94.4656207,-0.03037672369,-0.0007993874656,-0.9560674089
842.9598963,389.6078883,256.0342862,8.126172253,4.06640625,0.69921875,79.36328125,0.625,36.3125,-35.4375,-0.009765625,0.0546875,-0.96875,0.08135986328,0.06500244141,-0.2694091797,0.9573974609,0.4979939453,0.9097966309,88.50884697,0.02131699908,0.02344869899,-1.030676906
842.9932296,404.9555375,260.6230875,8.126172253,4.06640625,0.69921875,79.36328125,1.3125,36.6875,-34,0.017578125,-0.009765625,-1.056640625,0.08135986328,0.06500244141,-0.2694091797,0.9573974609,1.08217915,2.930502832,88.70038311,0.05542419762,0.08393568389,-1.081038316
843.0265629,419.852666,265.0301936,8.130750066,4.10546875,0.73828125,79.28125,-1.5625,38.0625,-37.25,0.017578125,-0.009765625,-1.056640625,0.08001708984,0.06750488281,-0.2938842773,0.9500732422,1.28329209,6.512228516,88.32688765,0.1076508454,0.05782236002,-1.122073539
843.0598962,436.0995885,270.1741185,8.126172253,3.9140625,0.5859375,79.3203125,-1.5625,38.0625,-37.25,0.048828125,-0.060546875,-1.12890625,0.07867431641,0.06829833984,-0.3202514648,0.9415893555,1.618480322,3.878606689,93.82397466,0.1692036802,0.1247044446,-1.205209836
843.0932295,451.9232396,274.8665689,8.121594437,3.4140625,0.890625,79.28125,-3.0625,37.625,-35.0625,0.076171875,-0.09375,-1.177734375,0.07867431641,0.06829833984,-0.3202514648,0.9415893555,9.595960254,10.25675991,88.46096294,0.1737335425,0.1207075073,-1.193751949
843.1265628,467.5628841,279.5497871,8.130750066,2.76171875,0.81640625,78.9765625,-4.125,38.6875,-35.5,0.076171875,-0.09375,-1.177734375,0.07751464844,0.06817626953,-0.3477783203,0.9318847656,-7.565677246,-1.25456167,87.33089976,0.1239050572,0.08233690896,-1.188955624
843.1598961,484.4773631,284.8847267,8.126172253,2.76171875,0.46875,79.09765625,-4.125,38.6875,-35.5,0.103515625,-0.076171875,-1.17578125,0.07708740234,0.06774902344,-0.3753662109,0.9212036133,1.120486377,1.570596289,92.86629399,0.1108483952,0.1065849954,-1.157779513
843.1932294,500.5344637,289.5724989,8.130750066,2.45703125,0.31640625,78.9765625,-5.3125,37.1875,-34.8125,0.12109375,-0.041015625,-1.125,0.07708740234,0.06774902344,-0.3753662109,0.9212036133,-4.587290381,-4.050989209,86.74671455,0.151617156,0.128701382,-1.110615652
843.2265627,518.0145222,295.1075937,8.135327876,2.11328125,-0.41015625,78.3984375,-7.5625,37.125,-35.5,0.12109375,-0.041015625,-1.125,0.07739257813,0.06756591797,-0.4016723633,0.9099731445,-0.8810662109,-2.39420166,88.88234243,0.07620827173,0.1063185329,-1.084502328
843.259896,534.8510769,300.0709226,8.121594437,2.265625,-1.0234375,78.21484375,-7.5625,37.125,-35.5,0.09765625,0.013671875,-1.05859375,0.07800292969,0.06829833984,-0.4260864258,0.8986816406,3.543418457,3.744531396,90.20394175,-0.1590781057,0.02637978637,-0.9909739949
843.2932293,552.8120461,305.6980935,8.130750066,2.53515625,-1.40625,78.1328125,-8.625,37.0625,-35.5,0.041015625,0.001953125,-1.0234375,0.07800292969,0.06829833984,-0.4260864258,0.8986816406,4.865017773,2.671929053,90.12732729,-0.05196018527,0.01598774931,-1.052260367
843.3265626,572.1265993,311.7734386,8.130750066,2.7265625,-1.8671875,77.3671875,-9.0625,36,-35.4375,0.041015625,0.001953125,-1.0234375,0.07757568359,0.07000732422,-0.44921875,0.8873291016,-4.213794922,-1.781286035,90.89347183,0.09006432113,0.04050229826,-1.061320092
843.3598959,589.7136511,316.7659781,8.130750066,2.53515625,-1.40625,77.7109375,-9.0625,36,-35.4375,-0.01953125,0.0234375,-0.998046875,0.07580566406,0.07238769531,-0.4714355469,0.8756713867,2.212242334,-1.072602344,87.73312563,-0.05062787282,-0.02931087374,-0.9853782827
843.3932292,608.1423556,322.4888924,8.130750066,3.18359375,-1.0234375,78.25390625,-9.8125,36,-35.4375,-0.04296875,-0.015625,-1.021484375,0.07580566406,0.07238769531,-0.4714355469,0.8756713867,-5.104437939,-8.149862451,74.32559634,0.006661562214,-0.02584686139,-1.085301716
843.4265625,625.9291648,327.7478651,8.121594437,3.26171875,-0.10546875,77.55859375,-12,35.9375,-36.875,-0.04296875,-0.015625,-1.021484375,0.07318115234,0.07507324219,-0.493347168,0.8634643555,-7.201758594,-14.09705937,84.66854751,0.05728943504,0.003197549863,-1.102088853
843.4598958,645.0184579,333.7590957,8.135327876,3.0703125,-0.02734375,76.98828125,-12,35.9375,-36.875,-0.044921875,0.00390625,-1.05859375,0.07043457031,0.07769775391,-0.515625,0.8503417969,2.806004346,-0.1244984863,79.79395293,-0.07274425937,-0.05382542269,-1.085568178
843.4932292,664.2081004,339.578613,8.130750066,2.9921875,0.46875,76.7890625,-12.375,36.25,-34.0625,-0.0078125,-0.025390625,-1.107421875,0.07043457031,0.07769775391,-0.515625,0.8503417969,-1.589749902,-1.28329209,84.43870415,0.05275957273,-0.02398162397,-1.167638625
